rank,name,anime,favorites,url,description,Age,Birthday,Nationality,Height,Occupation,image
1011,Sabo(サボ),One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru IshiOne Piece: Araburu Henkaku no Log: Anyaku Suru Kakumeigun!One Piece,1784,https://myanimelist.net/character/32893/Sabo,"Birthday: March 20 
  
 He was born into a noble family but decided to run away and live in the Gray Terminal, eventually setting out to sea on his own. 12 years before the present storyline, he was a childhood friend of Ace, and eventually Luffy as well, to the point where the three considered themselves to be ""brothers."" Along with Ace and Luffy, Sabo's dream was to become a pirate so that he could set sail and achieve freedom, and made plans with his brothers to set sail at age 17. 
  
 Dressrosa Arc Spoilers :",,,,,,https://cdn.myanimelist.net/images/characters/3/526130.jpg
1012,"Anderson, Alexander(アレクサンド・アンデルセン)",Hellsing UltimateHellsingHellsing: Digest for Freaks,1782,https://myanimelist.net/character/606/Alexander_Anderson,Race: Human/Regenerator,,,,,,https://cdn.myanimelist.net/images/characters/16/31548.jpg
1013,"Kasuga, Arata(春日 アラタ)",Trinity SevenTrinity Seven: Nanatsu no Taizai to Nana MadoushiTrinity Seven Movie 1: Eternity Library to Alchemic Girl,1779,https://myanimelist.net/character/42391/Arata_Kasuga,"Birthday: June 18 
  
 Kasuga Arata used to live with his cousin and childhood friend Kasuga Hijiri, but one day something happened to the city he lives in, and an object was given to him by his cousin. When he finds out she could be alive he tries to become a magician, meeting with the Trinity Sevens in order to become a ""Magus"" and save Hijiri. 
  
 Arata has a carefree and cheerful personality most of the time, usually cracking jokes and teasing others even in dangerous situations. He is also noted to be very perverted, often finding himself in risque situations or confessing his desires towards a girl. 
 
   Voice Actors  Matsuoka, YoshitsuguJapanese  Bautsch, CameronEnglish  Keller, PatrickGerman  
 
 See MoreRecent Featured Articles Top 15 Best Harem Manga of All TimeWe love cute couples and following the development of their relative relationships in our favorite manga series. But let's turn up the heat, and see what happens when characters have more than a singular love interest. Let's enter the wild world of the harem manga!byMisterD98592,508viewsCollectionCute GirlsLoveMagicalHotTop 15 Ecchi Romance AnimeAre you a bit perverted at times? Or are you just an old-fashioned romantic? Perhaps you're a bit of both! Then come inside and enjoy some of the finest ecchi romance anime. There's enough fan service here to cause nosebleeds...but also enough love and tenderness to warm our hearts.byMisterD981,361,005viewsCollectionHot 
 by Taboolaby TaboolaYou May LikeOur Tour Guide Risked His Life To Help This Lioness Give Birth, But He Wasn't Ready For What Would Happen Nextuniversalinfonet.com|SponsoredSponsoredBang Babang Bang!!!2025 Newly Built Homes in Florida - The Prices May Surprise YouBestSearchNow | Search Ads|SponsoredSponsoredTsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka? OVA  $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",,,,,,Error processing https://myanimelist.net/character/42391/Arata_Kasuga: 'src'
1014,"Miniwa, Tsumiki(御庭 つみき)",Acchi KocchiAcchi Kocchi: Place=Princess,1777,https://myanimelist.net/character/55839/Tsumiki_Miniwa,"Age: 15-16 
 Birthday: January 11 
  
 The shortest heroine and the tsundere in her circle of friends, has a crush on Io. Every time when Io gives Tsumiki a pat on the head or sees something she likes, her hair changes shape into cat ears. 
  
 (Source: Wikipedia) 
 
   Voice Actors  Ookubo, RumiJapanese  
 
 See MoreRecent Featured Articles Nekomimi in Anime: Top 10 Anime Cat GirlsWhile the majority of the internet chooses to adore cats as is, the anime industry believes it better to combine them with cute humans, turning fantasy into reality. Come learn more about the origin and meaning of the term nekomimi... while also cuddling with some cute anime cat girls, of course!byllezur171,571,012viewsAnime TermsAnimalsCute GirlsKawaiiMoeHotEditorial 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",15-16,,,,,https://cdn.myanimelist.net/images/characters/5/161551.jpg
1015,"Aihara, Yuzu(藍原 柚子)",Citrus,1775,https://myanimelist.net/character/83367/Yuzu_Aihara,"The self-proclaimed Gyaru and only child, Yuzu transfers to an all-girls school after her mother is remarried. Yuzu is outspoken, daring, and shameless to some extent. She is often seen wearing her uniform that runs against the rules thus far. Unfortunately for her, she is bothered by the Student Council President's dress code enforcement. Yuzu eventually comes home to hear that she is now the older sister of the Student Council President, Aihara Mei. 
  
 Despite showing irritation towards Mei, she becomes concerned for her in which transitions into infatuation and deep care. Though she is rebellious in school, she means well and is often acting on behalf of Mei in a sense of protection. Also, her closest friend in school is Harumin. 
 
   Voice Actors  Taketatsu, AyanaJapanese  Shipman, MeganEnglish  May, MoiraGerman  
 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",,,,,,https://cdn.myanimelist.net/images/characters/10/488012.jpg
1016,Jinshi(壬氏),Kusuriya no HitorigotoMaomao no HitorigotoKusuriya no Hitorigoto 2nd Season,1771,https://myanimelist.net/character/156096/Jinshi,"Age: 
 18 (LN V1) (real), 23 (as eunuch Jinshi) 
 19 (LN V2) (real), 24 (as eunuch Jinshi) 
 18 (WN V2) (real), 24 (as eunuch Jinshi) 
  
 Height: 181 cm (5'11"") 
 Hair color: Black (WN), Dark Purple (LN) 
 Eye color: Black (WN), Pink (LN) 
  
 Jinshi is the deuteragonist of Kusuriya no Hitorigoto . He appears to be beautiful eunuch who was placed in charge of the inner palace and often requests for Maomao to solve mysteries in the palace in exchange for rare medicines. He finds Maomao's apathy toward him refreshing and amusing. Later, his childish curiosity evolves into a one-sided romantic affection. 
  
 Jinshi is a beautiful eunuch who works in the palace. With a celestial-like face, not only are women fascinated by him, but men are as well.",,,,"181 cm (5'11"")",,https://cdn.myanimelist.net/images/characters/9/511065.jpg
1017,"Kaneda, Shoutarou(金田 正太郎)",Akira,1762,https://myanimelist.net/character/2588/Shoutarou_Kaneda,"Kaneda is a carefree gang-leader who boasts a custom-modified motorcycle. He and Tetsuo have been best friends since early childhood. He is brash and not above teasing Tetsuo despite feeling affection for him as a younger brother. Upon rescuing Kei, Kaneda becomes involved in the activities of her group of anti-government guerillas in hopes of locating Tetsuo. 
  
 (Source: Wikipedia) 
 
   Voice Actors  Bosch, Johnny YongEnglish  Iwata, MitsuoJapanese  Clarke, CamEnglish  Daayán, IrwinSpanish  Bezerra, WendelPortuguese (BR)  Haggége, JulienGerman  Rollo, AlfredoPortuguese (BR)  Csőre, GáborHungarian  Zamora, SergioSpanish  De Gracia, ÁngelSpanish  Ramos, GabrielSpanish  De Porrata, NachoSpanish  Schalla, BjörnGerman  Terranova, CésarPortuguese (BR)  Kozlowski, MathiasFrench  Meli, ManuelItalian  Maggi, AngeloItalian  Leguizamo, ElliotSpanish  
 
 See MoreRecent Featured Articles 20 of the Best Mature Anime of All TimeAnime aimed at teens is a lot of fun. But anime aimed at an older crowd is on a whole other level! You get more violence, gore, nudity and sex than you bargained for...which isn't entirely a bad thing.byMisterD981,122,916viewsCollectionActionCute GirlsCute GuysHorrorSupernaturalSci-fiTokyo GhoulTop 10 Revving Hot Motorbikes In AnimeAdmit it! You really do wish you could burn rubber on a 2-wheeled beauty, as you race through neon-lit Tokyo streets. Speed demons may need to check out some of the following motorbikes in anime in order to get their adrenaline rush!byMisterD98115,927viewsCollectionActionSci-fi 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",,,,,,https://cdn.myanimelist.net/images/characters/15/114607.jpg
1018,Maple(メイプル),Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2,1756,https://myanimelist.net/character/174332/Maple,"Birthday: October 22 
  
 Maple/ Kaede Honjou is the main character, who has just started playing NewWorld Online. Since she doesn't like to get hurt, she puts every skill point she earns into boosting her defense, allowing her to acquire new skills and level up simply by withstanding attacks. Even with her lack of gaming experience, Maple remarkably gains enough resistance to almost anything, giving the game admins many headaches on how to slow her down; to which, her unorthodox methods overcomes the developers' adjustments. She seems to have an innate luck ability to locate rare items, hidden dungeons, and unique quests and skills (such as the Loving Sacrifice quest where she gains a second form). 
  
 (Source: Wikipedia) 
 
   Voice Actors  Hondo, KaedeJapanese  Shipman, MeganEnglish  Dzyadyk, LisaGerman  
 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",,,,,,https://cdn.myanimelist.net/images/characters/10/396709.jpg
1019,"Kirisu, Mafuyu(桐須 真冬)",Bokutachi wa Benkyou ga DekinaiBokutachi wa Benkyou ga Dekinai: Nagisa ni Usemono Arite Senjin wa Enzen to [X] SuruBokutachi wa Benkyou ga Dekinai!,1754,https://myanimelist.net/character/154056/Mafuyu_Kirisu,"Age: 20+ 
 Birthday: December 28 
  
 Mafuyu Kirisu is a Student Counselor at Yuiga's school and one of Rizu and Fumino's ex-tutors. 
  
 She is considered to be a beautiful person, often admired by male colleagues and students alike. However, due to her cold and frank personality, she is often seen as unsociable among her colleagues and overly strict with her students.",20+,,,,,Error processing https://myanimelist.net/character/154056/Mafuyu_Kirisu: 'src'
1020,"Mashiro, Moritaka(真城 最高)",Bakuman.Bakuman. 2nd SeasonBakuman. 3rd Season,1753,https://myanimelist.net/character/14545/Moritaka_Mashiro,"Age: 14 (debut), 24 (end) 
 Birthdate: February 18, 1994 
 Horoscope: Aquarius 
 Blood type: B 
 Height: 171cm 
 Weight: 58kg 
  
 Mashiro is a 14-year-old boy who doesn't know what to do with his life. One day his classmate Takagi finds out about his amazing drawing skills and asks him to help create a manga. He initially declines, but changes his mind when Takagi helps him get engaged with his crush, Azuki Miho. 
  
 He and Takagi create manga for Shonen Jump under the pen-name Ashirogi Muto. Mashiro is very talented in drawing although he is very dissatisfied with his style. He specializes in drawing fairly dark characters. His favorite manga is Ashita no Joe.","14 (debut), 24 (end)","February 18, 1994",,171cm,,https://cdn.myanimelist.net/images/characters/14/133311.jpg
1021,"Waguri, Kaoruko(和栗 薫子)",Kaoru Hana wa Rin to Saku,1752,https://myanimelist.net/character/211945/Kaoruko_Waguri,"Age: 16 
 Birthday: July 22 
 Zodiac: Cancer 
 Height: 148 cm (4' 10"") 
 Blood type: B 
 Hair color: blackish-purple 
 Eye color: black 
 Family: father, mother, one younger brother 
 Attends: Kikyo Girls' School (second-year, Class A) 
 Hobbies: reading, watching dramas with her little brother 
 Likes: cakes, stews 
  
 Kaoruko is a pretty girl with long dark hair and black eyes. She is short, even being mistaken as a middle-schooler by others. She usually wears her hair down, with a headband, but can be seen sporting other hairstyles when she is on dates or at work. 
  
 A kind and caring student from Kikyo Private Academy who comes from a humble family and enrolled at the academy under a scholarship; she is also shown to excel in her grades, leading her to be regarded highly by her peers. She meets Rintarou at the bakery due to being a regular customer and sees his kindhearted nature rather than his intimidating looks, resulting in her falling in love with him. She is also a glutton and eats much of the pastries at the bakery. 
  
 (Source: Kaoru Hana wa Rin to Saku Wiki, Wikipedia) 
 
   Voice Actors  Inoue, HonokaJapanese  
 
 by Taboolaby TaboolaYou May Like2025 Newly Built Homes in Florida - The Prices May Surprise YouBestSearchNow | Search Ads|SponsoredSponsoredBang Babang Bang!!!Our Tour Guide Risked His Life To Help This Lioness Give Birth, But He Wasn't Ready For What Would Happen Nextuniversalinfonet.com|SponsoredSponsoredTrust  $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",16,,,"148 cm (4' 10"")",,https://cdn.myanimelist.net/images/characters/7/586472.jpg
